epoch,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc,lr,time
1,1.8184259987690232,32.306666666666665,2.240428787469864,31.46,2.224871022791802,31.28,0.001034484592459306,90.1113600730896
2,1.4856864606792277,45.58444444444444,1.4356510743498803,49.44,1.4723049055171917,47.44,0.002285500352869299,89.8168351650238
3,1.3313615379685706,51.93555555555555,1.14713019952178,57.76,1.1789898917644839,57.71,0.004202061983223895,89.78958797454834
4,1.230203728614883,55.79555555555555,1.2447476275265217,55.98,1.2754850221585623,55.97,0.006552859344943162,90.81043100357056
5,1.1563836134631524,58.873333333333335,1.2498876191675663,58.9,1.2968132541149477,57.59,0.009054174317565705,90.11782503128052
6,1.0876291336661035,61.27777777777778,0.9451924063265323,65.54,0.9707094083858442,65.99,0.01140412278539923,90.05993700027466
7,1.029416419227015,64.02444444444444,1.0071699246764183,63.74,1.0357561858394477,64.15,0.013319089081125121,89.95896410942078
8,0.9719098660756241,65.94666666666667,1.002201209962368,67.42,1.0365318799320655,67.27,0.014567955607362333,89.90137004852295
9,0.9297273048961704,67.61555555555556,1.0011228330433368,66.48,1.0175770611702641,67.25,0.014999999322662137,89.85919904708862
10,0.8854749353433197,69.28888888888889,1.0700983375310897,66.04,1.0921169941938376,66.05,0.01491575579279319,89.92748689651489
11,0.8504928885535761,70.48222222222222,0.7456311285495758,74.12,0.7742770170863671,73.88,0.014665857202831237,89.75667786598206
12,0.8198230730539019,71.54444444444445,0.6711183302104473,75.62,0.6749128616308864,76.41,0.014255885874331038,89.89882922172546
13,0.7895383169366554,72.63111111111111,0.6418888196349144,77.74,0.6533046342149565,77.49,0.013694999889314061,90.38604402542114
14,0.7660318951715123,73.51333333333334,0.6432519190013408,77.02,0.6689787092088144,76.8,0.01299572851384939,90.68729305267334
15,0.7399078041992404,74.63555555555556,0.6971414562314748,75.06,0.7164079965669897,76.5,0.01217369231495375,90.2245261669159
16,0.7135803574188189,75.23777777777778,0.612009403295815,78.9,0.6311915618709371,78.75,0.011247254222936535,90.00400686264038
17,0.6859173811125484,76.00666666666666,0.5313558043912053,80.8,0.5504464982431146,81.61,0.01023710933388055,90.10137009620667
18,0.6607237523421645,77.13555555555556,0.47021106667816637,83.34,0.4831303380712678,83.26,0.00916582261539312,90.49583601951599
19,0.6328617870299653,78.24444444444444,0.45338540002703664,83.54,0.47134305819680417,83.68,0.008057324842517246,90.14458394050598
20,0.6139570740474896,79.01333333333334,0.4823685739189386,82.86,0.5153427855877937,82.54,0.00693637802376154,90.35262298583984
21,0.5761316557499495,80.1,0.42701038140803577,85.1,0.4451813769491413,85.31,0.005828022258748151,90.85144233703613
22,0.5489993640644983,81.10666666666667,0.4200551467016339,84.72,0.4405582317068607,85.04,0.004757016383764703,91.07651901245117
23,0.5326339453458786,81.62666666666667,0.38412799388170243,86.42,0.39944970230512983,86.42,0.0037472849002744006,90.53648495674133
24,0.5026933490722016,82.73555555555555,0.3535807032138109,87.62,0.37470410028590434,87.33,0.002821383541087357,90.88958501815796
25,0.475765768353912,83.56222222222222,0.32909853965975344,88.3,0.35706579987006853,87.98,0.0019999954125618827,90.01070594787598
26,0.4607241314581849,84.09777777777778,0.31715663908980785,88.82,0.34567635949653913,88.61,0.0013014689681862066,90.24843502044678
27,0.44294110643254087,84.78,0.3087145293131471,89.1,0.33672079330758203,88.75,0.0007414081344474816,91.85608100891113
28,0.4274087546139278,85.27111111111111,0.3045026471372694,89.36,0.3314540965270393,89.04,0.00033232374489875854,90.76296591758728
29,0.4250067561780187,85.24444444444444,0.3022093651816249,89.34,0.3292578768126572,89.11,8.335406881095379e-05,90.48812532424927
