epoch,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc,lr,time
1,1.7766202932054347,33.96666666666667,1.6515083134174346,38.48,1.6506610233572465,38.61,0.0008152917458369921,90.19551420211792
2,1.4564785296944054,46.666666666666664,1.4945257961750031,47.0,1.5060503543177737,46.78,0.0019893056357811623,89.34740614891052
3,1.3016905193640427,52.94222222222222,1.6215363711118698,46.4,1.679031461100035,45.68,0.0037188923873359304,89.32910108566284
4,1.1979556435888463,56.81777777777778,0.998657475411892,62.9,1.0338274195224424,62.6,0.005704767374822247,89.49821591377258
5,1.1219534989107738,59.68888888888889,1.3015288256108761,56.18,1.3442303289341022,56.29,0.00760329831050378,89.72246503829956
6,1.049416598779234,62.617777777777775,1.0040940940380096,66.28,1.023659343960919,65.68,0.009085966766545226,89.98416876792908
7,0.9773854435506192,65.75555555555556,0.8192404985427857,70.86,0.8614078201825106,70.49,0.009896214421443712,89.49809288978577
8,0.9173665795136582,67.85777777777778,0.7332022830843925,74.12,0.7589582880086536,73.86,0.009979642324084706,89.19291687011719
9,0.8651541183617982,69.72666666666667,0.8007602259516716,71.72,0.7956052347074581,72.29,0.009819136007783814,89.27278423309326
10,0.832262518053705,71.11111111111111,0.6696545630693436,76.18,0.6748219977451276,76.28,0.009503739337810891,89.55348610877991
11,0.7885674866424366,72.56888888888889,0.9181437164545059,69.5,0.9636760203144218,68.89,0.00904358942264811,89.56887769699097
12,0.7607333301143213,73.64444444444445,0.5987579492852092,78.48,0.6579115809519079,77.61,0.008453475859181417,89.30785298347473
13,0.7205023824829947,75.19111111111111,0.6250065013766288,78.34,0.6535302872144724,77.82,0.007752365382887687,89.47574090957642
14,0.690922208299691,75.80444444444444,0.6009047720581293,78.82,0.6262712663487543,78.57,0.006962792261350622,89.34623908996582
15,0.6657583857463165,76.84222222222222,0.49692817851901055,82.94,0.5259272060062312,81.83,0.006110134024359353,89.20793867111206
16,0.63472398692234,78.11555555555556,0.47216334454715253,83.34,0.5021605042717124,82.59,0.005221795809220312,89.42895293235779
17,0.6005930374799804,79.1288888888889,0.4503975097090006,84.68,0.47574103783957566,83.49,0.0043263295370951855,89.31258821487427
18,0.5716476905244318,80.17333333333333,0.4160945385694504,85.0,0.44506206089937234,84.77,0.003452516230762182,89.31566214561462
19,0.5428625026887114,81.12666666666667,0.3686850376427174,86.34,0.4089192246334462,86.13,0.0026284409688628226,89.67471814155579
20,0.5167893012985587,82.11111111111111,0.368153378367424,86.84,0.3968063442012932,86.32,0.0018805902083659383,90.09698987007141
